2883	4483	2
2883	4707	2
2883	4800	2
2883	5023	3
2883	5184	6
2883	5196	17
2883	5207	9
2883	5416	7
2883	5539	12
2883	5588	5
2883	5935	1
2883	6268	1
2883	6387	4
2890	2903	25
2890	3032	15
2890	3118	1
2890	3138	13
2890	3190	2
2890	3359	1
2890	3367	1
2890	3431	1
2890	3445	1
2890	3472	7
2890	3707	1
2890	3733	10
2890	3872	1
2890	4057	2
2890	4087	2
2890	4180	1
2890	4182	1
2890	4190	3
2890	4483	1
2890	5023	1
2890	5184	8
2890	5196	5
2890	5207	2
2890	5416	1
2890	5539	1
2890	5588	13
2890	6268	1
2890	6396	1
2890	6494	1
2902	3056	2
2902	3472	13
2902	3544	1
2902	4180	3
2902	4707	1
2902	6387	1
2903	3032	17
2903	3118	1
2903	3138	22
2903	3190	2
2903	3359	1
2903	3367	1
2903	3431	2
2903	3445	1
2903	3472	9
2903	3707	2
2903	3733	18
2903	3872	2
2903	3960	1
2903	3969	1
2903	4057	4
2903	4087	2
2903	4180	2
2903	4182	2
2903	4190	4
2903	4483	2
2903	4707	1
2903	5023	3
2903	5184	7
2903	5196	7
2903	5207	2
2903	5416	1
2903	5539	1
2903	5588	16
2903	6268	2
2903	6387	2
2903	6396	1
2903	6494	1
3032	3118	3
3032	3138	25
3032	3359	1
3032	3367	1
3032	3431	5
3032	3472	7
3032	3474	1
3032	3733	7
3032	3872	9
3032	4020	4
3032	4057	4
3032	4180	3
3032	4182	3
3032	4190	7
3032	4483	2
3032	4707	4
3032	5023	2
3032	5184	12
3032	5196	10
3032	5207	4
3032	5416	3
3032	5539	4
3032	5588	17
3032	5935	1
3032	6387	3
3056	3068	2
3056	3138	1
3056	3190	1
3056	3359	2
3056	3367	3
3056	3370	2
3056	3445	1
3056	3472	10
3056	3544	1
3056	3733	1
3056	3960	2
3056	3969	1
3056	4057	2
3056	4180	1
3056	4182	1
3056	5131	5
3056	5342	6
3056	5416	3
3056	6268	1
3056	6387	1
3056	6396	1
3056	6494	2
3067	3068	16
3067	3118	5
3067	3190	1
3067	3290	3
3067	3370	1
3067	3431	1
3067	3472	9
3067	3474	2
3067	3960	2
3067	3969	2
3067	4020	4
3067	4044	1
3067	4087	1
3067	4180	1
3067	4182	3
3067	4190	2
3067	4483	2
3067	4800	1
3067	5416	2
3067	5618	1
3067	5774	1
3067	6396	1
3067	6494	1
3068	3118	5
3068	3190	3
3068	3290	6
3068	3359	1
3068	3367	1
3068	3370	2
3068	3431	1
3068	3472	11
3068	3474	2
3068	3544	3
3068	3733	2
3068	3960	2
3068	3969	2
3068	4020	3
3068	4044	3
3068	4057	1
3068	4087	3
3068	4180	1
3068	4190	1
3068	4483	1
3068	4800	1
3068	5131	1
3068	5416	4
3068	5618	1
3068	5774	1
3068	5935	1
3068	6387	1
3068	6396	1
3068	6494	1
3118	3138	5
3118	3190	3
3118	3290	3
3118	3359	2
3118	3367	1
3118	3370	3
3118	3445	4
3118	3472	14
3118	3474	2
3118	3544	3
3118	3707	1
3118	3733	5
3118	3960	10
3118	3969	2
3118	4020	24
3118	4044	9
3118	4057	3
3118	4087	13
3118	4182	9
3118	4190	2
3118	5023	1
3118	5131	1
3118	5184	3
3118	5196	1
3118	5207	1
3118	5342	2
3118	5416	5
3118	5539	3
3118	5618	2
3118	5774	1
3118	5935	1
3118	6268	2
3118	6387	1
